# Data from CRU TS v4.01 Observations
# https://crudata.uea.ac.uk/cru/data/hrg/
# Note: temperature is multiplied by 10 (ºC*10)
local year jan feb mar apr may jun jul aug sep oct nov dec
MADRID 2003 61 68 123 134 187 255 259 272 218 140 104 68
MADRID 2004 76 81 94 124 151 245 256 241 223 156 91 74
MADRID 2005 58 53 109 143 192 251 266 257 206 155 86 62
MADRID 2006 56 67 112 149 197 234 272 241 219 168 119 66
MADRID 2007 65 93 101 132 164 202 247 237 211 149 91 63
MADRID 2008 80 93 109 140 154 212 250 257 198 146 79 63
MADRID 2009 52 79 124 126 193 237 263 275 214 173 114 61
MADRID 2010 54 64 93 143 162 211 274 260 213 141 86 62
MADRID 2011 64 85 100 167 191 228 251 259 227 172 112 69
MADRID 2012 67 62 119 116 192 245 262 269 212 150 99 68
MADRID 2013 65 69 94 128 150 213 273 267 224 165 92 63
MADRID 2014 80 73 116 162 181 224 249 257 219 182 112 73
MADRID 2015 62 70 118 151 203 247 297 256 207 158 121 98
MADRID 2016 84 84 96 123 164 238 281 275 230 170 97 83
MADRID 2017 60 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
LISBOA 1864 93 101 119 142 189 205 211 244 203 169 130 94
LISBOA 1865 116 107 107 146 157 218 217 203 224 172 133 94
LISBOA 1866 102 112 111 143 163 182 205 220 191 165 146 115
LISBOA 1867 123 126 131 155 160 202 201 207 202 165 135 93
LISBOA 1868 98 110 135 145 177 217 208 212 199 156 131 139
LISBOA 1869 113 117 107 146 156 195 212 220 199 168 132 101
LISBOA 1870 86 115 132 161 179 219 223 210 210 186 134 107
LISBOA 1871 91 122 127 160 170 178 214 218 192 173 137 83
LISBOA 1872 114 114 128 145 151 197 207 221 199 147 130 109
LISBOA 1873 112 97 115 135 177 191 208 219 199 159 134 94
LISBOA 1874 110 116 134 148 170 183 210 220 198 169 139 96
LISBOA 1875 109 102 127 142 184 190 191 218 210 177 145 85
LISBOA 1876 84 117 118 133 152 172 237 223 207 168 152 132
LISBOA 1877 124 112 123 142 167 191 223 215 199 172 145 108
LISBOA 1878 97 111 136 150 166 187 217 210 208 170 117 109
LISBOA 1879 116 115 118 125 157 177 200 205 183 168 150 83
LISBOA 1880 92 120 136 131 157 170 191 206 207 179 125 111
LISBOA 1881 114 118 141 144 173 192 218 235 200 163 147 100
LISBOA 1882 101 119 135 140 156 179 203 210 180 164 137 107
LISBOA 1883 109 115 105 138 146 172 195 216 188 158 135 95
LISBOA 1884 112 106 124 122 164 191 214 224 195 164 125 103
LISBOA 1885 94 130 119 123 160 187 195 204 201 147 130 103
LISBOA 1886 97 104 137 141 155 190 216 220 197 157 120 115
LISBOA 1887 101 98 132 133 166 220 222 221 192 154 133 100
LISBOA 1888 98 82 111 127 176 186 197 215 206 172 136 116
LISBOA 1889 93 108 116 123 143 174 200 206 201 155 136 92
LISBOA 1890 109 98 111 133 143 207 205 199 201 180 129 97
LISBOA 1891 84 110 117 141 151 196 211 207 197 165 135 111
LISBOA 1892 101 112 126 142 176 196 209 222 207 156 141 105
LISBOA 1893 99 112 148 152 179 202 227 225 199 181 134 105
LISBOA 1894 100 106 122 130 151 194 208 209 195 177 136 111
LISBOA 1895 97 127 114 143 175 199 210 221 207 181 159 125
LISBOA 1896 99 113 135 170 177 194 215 215 200 143 115 114
LISBOA 1897 93 125 146 144 168 211 223 213 198 185 149 123
LISBOA 1898 107 119 115 138 162 188 225 231 219 178 132 105
LISBOA 1899 110 128 136 166 176 195 231 231 213 199 148 120
LISBOA 1900 104 122 110 158 162 187 225 210 210 172 135 117
LISBOA 1901 105 90 117 148 170 199 219 222 191 158 120 100
LISBOA 1902 104 88 135 143 161 180 206 211 199 166 143 111
LISBOA 1903 101 120 128 160 155 186 215 227 190 170 141 104
LISBOA 1904 105 114 113 156 175 192 207 218 188 189 136 126
LISBOA 1905 97 100 134 155 170 182 217 209 193 168 123 112
LISBOA 1906 111 103 121 137 166 205 217 227 208 175 132 107
LISBOA 1907 93 101 139 145 156 192 202 229 216 157 133 127
LISBOA 1908 109 114 117 130 181 190 213 215 204 180 147 123
LISBOA 1909 99 103 117 159 180 174 221 215 191 179 137 129
LISBOA 1910 103 124 117 142 152 188 205 214 209 173 139 123
LISBOA 1911 83 114 116 127 159 177 227 220 226 165 133 127
LISBOA 1912 108 131 139 150 182 171 184 192 206 168 134 101
LISBOA 1913 123 109 127 132 166 209 214 209 189 167 142 102
LISBOA 1914 96 118 127 148 170 180 202 215 218 175 134 122
LISBOA 1915 103 112 133 125 168 199 216 220 209 168 138 132
LISBOA 1916 108 112 112 141 168 190 205 217 212 183 139 123
LISBOA 1917 100 105 115 139 164 194 222 205 216 165 139 87
LISBOA 1918 115 123 126 130 173 212 219 231 193 153 136 146
LISBOA 1919 109 129 124 139 167 214 207 238 212 165 126 113
LISBOA 1920 110 121 131 154 181 201 205 216 211 164 139 118
LISBOA 1921 112 111 130 146 164 190 228 221 201 192 144 110
LISBOA 1922 111 116 114 135 195 199 208 223 203 180 139 106
LISBOA 1923 94 122 137 127 156 209 222 233 206 187 129 102
LISBOA 1924 111 92 132 151 174 202 216 210 194 174 133 121
LISBOA 1925 110 117 112 134 155 195 208 222 209 182 126 132
LISBOA 1926 119 140 144 142 156 191 226 241 241 194 141 103
LISBOA 1927 113 115 167 156 178 206 200 215 193 183 132 119
LISBOA 1928 104 122 126 132 147 195 242 219 210 173 127 100
LISBOA 1929 99 119 140 155 153 200 216 224 211 180 142 132
LISBOA 1930 111 96 134 126 166 182 211 232 211 183 151 124
