# Species data from IUCN (http://www.iucnredlist.org/)
# Climate and altitude data from worldclim (http://worldclim.org/)
lon;lat;sp.rich;prec1;prec2;prec3;prec4;prec5;prec6;prec7;prec8;prec9;prec10;prec11;prec12;tavg1;tavg2;tavg3;tavg4;tavg5;tavg6;tavg7;tavg8;tavg9;tavg10;tavg11;tavg12;altitude
-42.5;77.5;1;49;42;38;27;22;34;40;51;39;28;38;42;-39.2705001831055;-38.7282485961914;-38.8424987792969;-32.3847503662109;-20.6052513122559;-11.7932500839233;-8.49825000762939;-11.5795001983643;-19.5550003051758;-29.7982501983643;-35.4372520446777;-37.2150001525879;2447
-37.5;77.5;1;61;53;45;31;30;42;43;63;46;38;48;49;-37.1762504577637;-36.8624992370605;-37.005500793457;-31.0265007019043;-19.3999996185303;-11.1000003814697;-8.30000019073486;-10.9530000686646;-18.8999996185303;-28.3295001983643;-33.601749420166;-35.1032485961914;2293
-32.5;77.5;1;66;57;46;34;33;47;44;67;48;43;53;50;-34.213249206543;-34.1515007019043;-34.8089981079102;-29.4589996337891;-17.9449996948242;-10.1150007247925;-7.26999998092651;-9.27775001525879;-17.2777500152588;-26.1722507476807;-30.9370002746582;-32.5187492370605;2042
-27.5;77.5;1;64;53;41;32;29;38;44;62;43;43;51;48;-30.0207500457764;-30.4529991149902;-31.9090003967285;-27.1440010070801;-16.1297492980957;-8.5;-5.49149990081787;-6.95874977111816;-14.9052495956421;-22.8815002441406;-27.1097507476807;-28.6359996795654;1760
17.5;77.5;2;38;40;33;25;15;10;15;21;26;25;30;34;-12.149112701416;-12.9686393737793;-12.7869825363159;-10.18284034729;-3.87692308425903;0.798816561698914;2.89467453956604;3.20295858383179;0.753254413604736;-3.45917153358459;-7.06923055648804;-10.2189350128174;100
22.5;77.5;1;51;44;38;32;25;24;29;33;48;59;42;56;-13.0343751907349;-13.6031246185303;-13.6750001907349;-10.1781253814697;-3.875;0.609375;3.36562490463257;3.40312504768372;0.912500023841858;-3.72187495231628;-9.4375;-11.8249998092651;29
102.5;77.5;1;12;16;17;13;13;18;33;33;27;24;12;15;-29.1492023468018;-29.7335472106934;-28.1367416381836;-20.9677314758301;-10.7293930053711;-1.16709268093109;2.80830669403076;1.57092654705048;-2.63833856582642;-13.1731624603271;-22.4913730621338;-25.6910552978516;38
107.5;77.5;1;11;12;9;10;12;21;33;30;24;21;11;12;-29.7555561065674;-30.2999992370605;-28.5;-21.4333324432373;-10.7333335876465;-1.3222222328186;1.85555553436279;0.800000011920929;-2.72222232818604;-13.6000003814697;-23.2666664123535;-26.6888885498047;7
-122.5;72.5;10;5;5;7;9;8;10;19;29;24;15;8;5;-30.9327507019043;-31.150749206543;-29.1030006408691;-18.695499420166;-7.2354998588562;4.53550004959106;9.64274978637695;6.15299987792969;-1.39649999141693;-12.2167501449585;-22.9314994812012;-27.8619995117188;190
-117.5;72.5;9;7;6;9;11;7;11;22;30;24;13;9;6;-30.3542499542236;-30.84375;-29.1089992523193;-20.1607494354248;-8.60225009918213;2.06375002861023;7.3274998664856;5.07275009155273;-1.63875007629395;-11.9709997177124;-22.455249786377;-27.0107498168945;153
-112.5;72.5;9;4;3;6;9;5;8;17;21;17;12;6;4;-32.2389984130859;-32.7514991760254;-31.1075000762939;-21.710750579834;-9.99174976348877;1.02075004577637;6.96000003814697;4.41625022888184;-2.47425007820129;-13.602499961853;-24.7674999237061;-28.9137496948242;174
-107.5;72.5;9;3;2;6;8;5;6;14;17;13;9;5;3;-32.5475006103516;-33.1987495422363;-31.1477508544922;-22.4424991607666;-10.5594997406006;0.625249981880188;6.17824983596802;3.90849995613098;-3.22399997711182;-14.4145002365112;-24.8202495574951;-29.3999996185303;178
-97.5;72.5;7;4;3;7;10;8;11;17;27;23;10;6;4;-34.536750793457;-35.3209991455078;-32.3722496032715;-23.6865005493164;-11.2797498703003;0.0715000033378601;6.66849994659424;3.92324995994568;-3.21024990081787;-14.3227500915527;-25.7432498931885;-31.1949996948242;119
-87.5;72.5;10;4;4;9;11;17;18;33;38;28;27;13;6;-33.088249206543;-32.8967514038086;-30.3050003051758;-21.5550003051758;-10.2869997024536;0.118250004947186;6.36625003814697;4.0957498550415;-3.15674996376038;-12.6597499847412;-23.3824996948242;-29.2112503051758;202
-82.5;72.5;10;7;6;9;12;21;22;42;46;35;32;18;10;-30.043249130249;-31.6135005950928;-29.2625007629395;-21.8752498626709;-10.700249671936;-0.607999980449677;5.06699991226196;2.71374988555908;-4.31850004196167;-13.6330003738403;-23.1944999694824;-27.8947505950928;534
