CODE,SP,SEX,MAXBITE,MAXRUN,MAXCLIMB,SVL,TRL,HL,PL,HW,HH,MO,FFL,HFL
B6,IHOR,F,NA,156.3218,157.712525,58.4,30.2,18.9,11.8,7.1,4.7,NA,18.8,25.8
2,IHOR,M,1.2445,159.9081,159.9081,54.7,28,19.6,12.3,7.3,4.9,10.2,18.2,26.6
3,IHOR,M,1.1115,206.216825,141.792225,51.8,23.8,18.9,12.4,7.2,5,10.8,19,27.6
4,IHOR,M,1.349,143.6345,123.056525,54.6,28.5,18.8,12.8,7.8,5.1,11,17.4,30.3
5,IHOR,M,1.3965,160.19955,142.957975,53.9,29.5,18.6,12.7,7.9,4.9,10.7,19.5,30.6
6,IHOR,M,1.4535,135.818875,141.176025,54.6,28.7,19.7,12.4,7.4,4.9,11,17.4,27.3
7,IHOR,M,1.045,183.0109,139.291775,52.1,24.7,19,12.7,7.6,4.5,10.9,18.2,26.9
8,IHOR,M,1.2255,141.234725,181.2486,51.6,29.6,19.2,12.9,7.9,5.6,11.1,19,31.7
9,IHOR,M,1.6815,154.6526,126.9555,57,30,20.9,14.1,8.1,5.3,11,22.7,32.8
10,IHOR,M,2.0805,158.908575,176.96715,59,30.4,20.5,13.5,8.6,5.2,11.3,21.2,31.9
11,IHOR,M,1.216,162.58255,164.045525,53.8,26.1,19.9,12.4,7.2,4.2,10.2,18.1,25.9
80,IHOR,M,1.7195,169.060575,169.952675,59.2,28,21.3,13.4,7.7,5.4,11.1,20.7,30.5
81,IHOR,M,1.995,149.876475,182.06025,58.4,28.8,19.3,13.3,7.7,5,11.3,19.9,29.1
82,IHOR,M,1.3395,186.52195,183.951525,54.1,26.6,18.3,12.3,7.1,4.9,10.3,19.6,27.5
I10,IHOR,M,1.6815,153.790875,165.021325,51.1,29.4,19,12.8,8,4.8,11.1,19.5,29.6
I5,IHOR,M,2.489,1846.750075,169.31485,58.6,29.6,21.1,14.2,8.2,5.2,12,21.3,30
I6,IHOR,M,1.045,149.75815,198.587625,49.7,24,17.5,11.9,7.1,4.6,9.6,19,28.8
I7,IHOR,M,1.8905,168.754975,161.586375,56.4,29.7,21.1,13.5,7.8,5.5,11.6,18.7,29
I8,IHOR,M,1.824,145.1619,145.055025,53.7,29.5,19.5,12.8,7.6,4.7,10.6,20.2,30.8
I9,IHOR,M,1.5105,160.33535,160.33535,53.6,28.1,19.3,12.8,7.8,5,11.8,20.2,30
J1,IHOR,M,1.2445,135.2847,164.4763,52.3,26.9,17.7,12.2,7.4,4.5,10.1,18.2,29.4
